policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
random,e7f6c011776e8db7,0,8,D_only,1,1,0.9041224482157029,0.0400293515607002,0.19448984045240691,1,1,2.748693516469513,6.848938020133746,1.402368463396742
random,e7f6c011776e8db7,0,9,E_only,1,1,0.8839383851198117,0.020184063095891158,0.21467390354829807,1,1,2.762931234403506,7.715781258146257,1.521287507450238
random,e7f6c011776e8db7,0,10,EDT_full,2,1,0.9259718720207166,-0.042033486900904915,0.17264041664739316,1,1,3.658400188080416,7.719690893554852,1.6219089183647333
greedy_eig,e7f6c011776e8db7,0,1,E_only,0,1,1.058284680581234,0.04032760808687552,0.040327608086875744,1,1,1.1000856193809463,1.8803292441078998,1.0195851365111537
greedy_eig,e7f6c011776e8db7,0,2,E_only,2,1,1.0655679749661275,-0.007283294384893502,0.03304431370198224,0,0,2.031478735427784,1.8807153813173614,1.0878058832548543
greedy_eig,e7f6c011776e8db7,0,3,D_only,1,1,1.0285495461120142,0.03701842885411333,0.07006274255609557,1,1,2.031580226628689,2.880608871342404,1.0878109020289068
greedy_eig,e7f6c011776e8db7,0,4,D_only,1,1,0.9753996804605632,0.05314986565145097,0.12321260820754654,1,1,2.0316817178295943,3.8805023613674465,1.0878159208029594
greedy_eig,e7f6c011776e8db7,0,5,D_only,1,1,0.9208840077162392,0.054515672744324006,0.17772828095187054,1,1,2.0317832090304995,4.880395851392489,1.087820939577012
greedy_eig,e7f6c011776e8db7,0,6,E_only,2,1,0.9612308409896629,-0.0403468332734237,0.13738144767844684,1,1,2.9631763250773373,4.88078198860195,1.1560416863207126
greedy_eig,e7f6c011776e8db7,0,7,D_only,1,1,0.9220594180855542,0.03917142290410869,0.17655287058255553,1,1,2.9632778162782425,5.880675478626992,1.1560467050947651
greedy_eig,e7f6c011776e8db7,0,8,T_only,1,1,0.9615071691311672,-0.03944775104561293,0.1371051195369426,1,1,3.5785448129493544,5.9911751261585175,1.430280060892128
greedy_eig,e7f6c011776e8db7,0,9,D_only,1,1,0.9291028038899343,0.03240436524123291,0.1695094847781755,1,1,3.5786463041502596,6.99106861618356,1.4302850796661806
greedy_eig,e7f6c011776e8db7,0,10,E_only,2,1,0.9498878119533152,-0.020785008063380905,0.1487244767147946,1,1,4.5100394201970975,6.991454753393021,1.4985058264098812
E_only,4fc82b26aecb47d2,0,1,E_only,2,2,1.054522043178015,0.04409024549009466,0.04409024549009488,0,0,1.9080637398874083,1.0634632870712046,1.028472973041387
E_only,4fc82b26aecb47d2,0,2,E_only,0,2,1.0407786796657468,0.013743363512268125,0.05783360900236301,0,0,2.411438140116473,1.55519277376,1.033369086123527
E_only,4fc82b26aecb47d2,0,3,E_only,1,2,1.0326859299523525,0.008092749713394243,0.06592635871575725,0,0,2.576811281738718,2.3890799014394815,1.0341088168218007
E_only,4fc82b26aecb47d2,0,4,E_only,1,2,1.0068406362471078,0.025845293705244687,0.09177165242100194,1,0,2.7421844233609627,3.222967029118963,1.0348485475200744
E_only,4fc82b26aecb47d2,0,5,E_only,2,2,0.9917152679604004,0.015125368286707408,0.10689702070770934,0,0,3.6502481632483708,3.2864303161901676,1.0633215205614615
E_only,4fc82b26aecb47d2,0,6,E_only,2,2,0.9682903073804565,0.02342496057994392,0.13032198128765327,0,0,4.558311903135779,3.349893603261372,1.0917944936028485
E_only,4fc82b26aecb47d2,0,7,E_only,2,2,0.942278751453075,0.02601155592738147,0.15633353721503473,0,0,5.466375643023188,3.413356890332577,1.1202674666442356
E_only,4fc82b26aecb47d2,0,8,E_only,0,2,0.9325596310903959,0.00971912036267919,0.16605265757771392,0,0,5.969750043252253,3.905086377021372,1.1251635797263755
E_only,4fc82b26aecb47d2,0,9,E_only,2,2,0.9101047739347731,0.022454857155622787,0.1885075147333367,0,0,6.877813783139661,3.968549664092577,1.1536365527677626
E_only,4fc82b26aecb47d2,0,10,E_only,1,2,0.914944167432759,-0.0048393934979859,0.1836681212353508,0,0,7.043186924761906,4.802436791772059,1.1543762834660363
D_only,4fc82b26aecb47d2,0,1,D_only,2,2,1.0418380357263062,0.05677425294180338,0.056774252941803605,1,0,1.0023959587916094,1.9876512596704243,1.0099527815379663
D_only,4fc82b26aecb47d2,0,2,D_only,0,2,1.0871213358272431,-0.04528330010093695,0.011490952840866653,1,0,1.4695548989121512,2.0290976208564633,1.5013474802313858
