subject_hash,condition,y,kappa,kappa_null_mean,p_value,reject_at_0p05
eb624dbe56eb6620,Pleasant,2,0.07454362323649459,0.16126463210278724,0.9494101179764047,False
f369cb89fc627e66,Negative,0,0.40643479909884866,0.16454646408238147,0.0011997600479904018,True
f369cb89fc627e66,Neutral,1,0.1133015269647246,0.16539729981895876,0.8264347130573885,False
f369cb89fc627e66,Pleasant,2,0.4117013017163268,0.15745395830697656,0.003799240151969606,True
f74efabef12ea619,Negative,0,0.2897833253280183,0.16247208948450143,0.03539292141571686,True
f74efabef12ea619,Neutral,1,0.4922562584069278,0.16000100443003434,0.0005998800239952009,True
f74efabef12ea619,Pleasant,2,0.342384810521521,0.16039018949020994,0.017196560687862426,True
a88a7902cb4ef697,Negative,0,0.3431649305000116,0.1598921260093649,0.01839632073585283,True
a88a7902cb4ef697,Neutral,1,0.15752266869468948,0.1634363229855696,0.48310337932413516,False
a88a7902cb4ef697,Pleasant,2,0.4725801721457445,0.15839957101168578,0.0001999600079984003,True
349c41201b62db85,Negative,0,0.32306264011041363,0.16076803749107485,0.023795240951809637,True
349c41201b62db85,Neutral,1,0.281953271874449,0.1611320927714155,0.05138972205558888,False
349c41201b62db85,Pleasant,2,0.4135480591691113,0.15836683299456422,0.0027994401119776045,True
98a3ab7c340e8a03,Negative,0,0.48589934322874134,0.1576259526292705,0.0009998000399920016,True
98a3ab7c340e8a03,Neutral,1,0.1301798951941761,0.1634910780541155,0.6700659868026395,False
98a3ab7c340e8a03,Pleasant,2,0.19408588978220578,0.1647449123733814,0.27754449110177964,False
48449a14a4ff7d79,Negative,0,0.332785069735904,0.15730070619440495,0.02459508098380324,True
48449a14a4ff7d79,Neutral,1,0.10736359223774168,0.16521792491906295,0.8608278344331134,False
48449a14a4ff7d79,Pleasant,2,0.11407529063353261,0.16450917736735401,0.8258348330333933,False
a46e37632fa6ca51,Negative,0,0.11955204959110155,0.15851609903419744,0.6702659468106379,False
a46e37632fa6ca51,Neutral,1,0.10074171956056738,0.16370059239066231,0.856628674265147,False
a46e37632fa6ca51,Pleasant,2,0.15377044423800815,0.1619808035628077,0.4823035392921416,False
bbb965ab0c80d653,Negative,0,0.23032361017021757,0.16417073311786384,0.14137172565486902,False
bbb965ab0c80d653,Neutral,1,0.12355825785180868,0.16504152821225862,0.7534493101379725,False
bbb965ab0c80d653,Pleasant,2,0.09052611147464817,0.16284010738810248,0.8958208358328335,False
44c8031cb036a735,Negative,0,0.19765151560745664,0.16125884193210277,0.24575084983003398,False
