policy,epsilon,episode,success,steps,final_entropy,brier
efe,0.0,249,1,1,0.0048,0.0
efe,0.0,250,1,3,0.2462,0.0083
efe,0.0,251,1,4,0.2917,0.0081
efe,0.0,252,1,12,0.4807,0.0669
efe,0.0,253,1,1,0.2405,0.0056
efe,0.0,254,1,4,0.0047,0.0
efe,0.0,255,1,1,0.2376,0.0074
efe,0.0,256,1,2,0.2262,0.0071
efe,0.0,257,1,7,0.2138,0.0061
efe,0.0,258,1,11,0.2765,0.0105
efe,0.0,259,1,4,0.03,0.0
efe,0.0,260,1,2,0.0005,0.0
efe,0.0,261,1,2,0.1947,0.0041
efe,0.0,262,1,3,0.3551,0.0258
efe,0.0,263,0,15,0.0,2.0
efe,0.0,264,1,1,0.237,0.0048
efe,0.0,265,1,4,0.1065,0.001
efe,0.0,266,1,2,0.0733,0.0002
efe,0.0,267,1,4,0.4937,0.0645
efe,0.0,268,1,3,0.399,0.0372
efe,0.0,269,1,2,0.0521,0.0002
efe,0.0,270,0,15,0.0,2.0
efe,0.0,271,1,6,0.0127,0.0
efe,0.0,272,1,3,0.3473,0.0206
efe,0.0,273,0,15,0.0,2.0
efe,0.0,274,1,3,0.6045,0.0593
efe,0.0,275,1,1,0.5711,0.0491
efe,0.0,276,0,15,0.0038,1.9983
efe,0.0,277,0,15,0.0,2.0
efe,0.0,278,1,2,0.3935,0.0175
efe,0.0,279,1,2,0.2993,0.0093
efe,0.0,280,1,1,0.2959,0.0147
efe,0.0,281,0,15,0.0354,1.9886
efe,0.0,282,1,1,0.448,0.0477
efe,0.0,283,1,3,0.4632,0.0608
efe,0.0,284,1,11,0.0981,0.0004
efe,0.0,285,1,3,0.0064,0.0
efe,0.0,286,1,1,0.2238,0.0066
efe,0.0,287,1,2,0.5733,0.0448
efe,0.0,288,1,1,0.2238,0.0066
efe,0.0,289,1,1,0.6357,0.0599
efe,0.0,290,1,6,0.259,0.0104
efe,0.0,291,1,2,0.0146,0.0
efe,0.0,292,1,1,0.1921,0.0032
efe,0.0,293,1,8,0.0044,0.0
efe,0.0,294,1,2,0.0735,0.0002
efe,0.0,295,1,1,0.19,0.0038
efe,0.0,296,1,1,0.237,0.0048
efe,0.0,297,1,1,0.2376,0.0074
efe,0.0,298,1,7,0.4689,0.0633
efe,0.0,299,1,3,0.0794,0.0005
efe,0.0,300,1,5,0.3174,0.0186
efe,0.0,301,1,5,0.0062,0.0
efe,0.0,302,1,14,0.145,0.0018
efe,0.0,303,1,3,0.6216,0.0597
efe,0.0,304,1,5,0.0084,0.0
efe,0.0,305,0,15,0.0005,1.9998
efe,0.0,306,0,15,0.0004,1.9999
efe,0.0,307,1,1,0.5895,0.0475
efe,0.0,308,1,1,0.0651,0.0002
efe,0.0,309,1,6,0.3985,0.0372
efe,0.0,310,1,14,0.2794,0.0129
efe,0.0,311,1,8,0.596,0.0622
efe,0.0,312,0,15,0.0075,1.9963
efe,0.0,313,1,3,0.2704,0.0056
efe,0.0,314,1,2,0.081,0.0004
efe,0.0,315,1,15,0.4354,0.0245
efe,0.0,316,1,1,0.3897,0.0175
efe,0.0,317,1,1,0.3897,0.0175
efe,0.0,318,1,1,0.5178,0.0455
efe,0.0,319,1,1,0.4183,0.0343
efe,0.0,320,1,2,0.2201,0.0033
efe,0.0,321,1,6,0.0081,0.0
efe,0.0,322,1,4,0.0592,0.0002
efe,0.0,323,1,2,0.0442,0.0001
efe,0.0,324,0,15,0.0,2.0
efe,0.0,325,1,3,0.1194,0.0013
efe,0.0,326,1,4,0.0021,0.0
efe,0.0,327,0,15,0.0,2.0
efe,0.0,328,0,15,0.0015,1.9994
efe,0.0,329,0,15,0.0003,1.9999
efe,0.0,330,1,2,0.0338,0.0
efe,0.0,331,1,1,0.3816,0.0289
efe,0.0,332,1,14,0.2708,0.0117
efe,0.0,333,1,1,0.2696,0.0075
efe,0.0,334,0,15,0.0003,1.9999
efe,0.0,335,1,2,0.0151,0.0
efe,0.0,336,1,2,0.1879,0.0041
efe,0.0,337,1,3,0.1148,0.0011
efe,0.0,338,1,1,0.5895,0.0475
efe,0.0,339,1,1,0.2213,0.0038
efe,0.0,340,0,15,0.0,2.0
efe,0.0,341,1,1,0.0334,0.0
efe,0.0,342,1,1,0.4183,0.0343
efe,0.0,343,1,4,0.25,0.0046
efe,0.0,344,1,15,0.3811,0.0324
efe,0.0,345,1,1,0.3816,0.0289
efe,0.0,346,1,2,0.0337,0.0
efe,0.0,347,0,15,0.0,2.0
efe,0.0,348,1,5,0.2712,0.0113
efe,0.0,349,0,15,0.0002,1.9999
efe,0.0,350,1,1,0.1177,0.0009
efe,0.0,351,1,3,0.288,0.0141
efe,0.0,352,1,1,0.3495,0.0154
efe,0.0,353,1,3,0.1073,0.0009
efe,0.0,354,1,1,0.3816,0.0289
efe,0.0,355,1,2,0.3238,0.0193
efe,0.0,356,0,15,0.0,2.0
efe,0.0,357,1,1,0.0918,0.0004
efe,0.0,358,1,4,0.0178,0.0
efe,0.0,359,1,3,0.5676,0.0661
efe,0.0,360,1,1,0.0098,0.0
efe,0.0,361,1,1,0.0098,0.0
efe,0.0,362,1,2,0.1335,0.0012
efe,0.0,363,1,4,0.2874,0.0137
efe,0.0,364,1,3,0.1047,0.0009
efe,0.0,365,1,5,0.375,0.0308
efe,0.0,366,0,15,0.0001,2.0
efe,0.0,367,1,9,0.1947,0.0047
efe,0.0,368,1,5,0.0717,0.0002
efe,0.0,369,1,1,0.2025,0.0033
efe,0.0,370,1,8,0.2498,0.0094
efe,0.0,371,1,1,0.552,0.0387
efe,0.0,372,1,2,0.003,0.0
efe,0.0,373,1,4,0.0013,0.0
efe,0.0,374,1,2,0.0849,0.0004
efe,0.0,375,1,2,0.0593,0.0001
efe,0.0,376,1,12,0.0057,0.0
efe,0.0,377,1,1,0.2558,0.0086
efe,0.0,378,1,5,0.06,0.0002
efe,0.0,379,1,5,0.5007,0.0386
efe,0.0,380,1,1,0.3204,0.0087
efe,0.0,381,1,1,0.0691,0.0003
efe,0.0,382,1,6,0.0409,0.0001
efe,0.0,383,1,1,0.0835,0.0004
efe,0.0,384,1,2,0.0343,0.0001
efe,0.0,385,1,1,0.2087,0.0037
efe,0.0,386,1,3,0.1407,0.002
efe,0.0,387,1,7,0.2588,0.0049
efe,0.0,388,0,15,0.0181,1.9902
efe,0.0,389,0,15,0.0,2.0
efe,0.0,390,1,2,0.3133,0.014
efe,0.0,391,1,6,0.1024,0.0009
efe,0.0,392,1,5,0.2525,0.0094
efe,0.0,393,1,15,0.1247,0.0015
efe,0.0,394,1,1,0.2767,0.0072
efe,0.0,395,1,1,0.0968,0.0005
efe,0.0,396,1,1,0.4748,0.0495
efe,0.0,397,1,1,0.3001,0.0083
efe,0.0,398,1,9,0.2097,0.0058
efe,0.0,399,1,2,0.4014,0.0227
efe,0.0,400,1,1,0.5064,0.0311
efe,0.0,401,1,4,0.0063,0.0
efe,0.0,402,0,15,0.6853,0.6535
efe,0.0,403,1,3,0.0962,0.0006
efe,0.0,404,1,2,0.1989,0.0047
efe,0.0,405,1,3,0.1277,0.001
efe,0.0,406,1,1,0.4238,0.0204
efe,0.0,407,1,1,0.0968,0.0005
efe,0.0,408,1,1,0.3603,0.0158
efe,0.0,409,1,3,0.3192,0.0166
efe,0.0,410,1,13,0.1498,0.0024
efe,0.0,411,1,9,0.1825,0.002
efe,0.0,412,1,1,0.0176,0.0
efe,0.0,413,1,2,0.4064,0.0218
efe,0.0,414,0,15,0.0258,1.9921
efe,0.0,415,1,1,0.01,0.0
efe,0.0,416,1,3,0.3143,0.0137
efe,0.0,417,1,1,0.0968,0.0005
efe,0.0,418,1,2,0.2024,0.0047
efe,0.0,419,0,15,0.0,2.0
efe,0.0,420,1,12,0.3892,0.0346
efe,0.0,421,1,8,0.0101,0.0
efe,0.0,422,1,1,0.5538,0.0493
efe,0.0,423,1,3,0.0431,0.0001
efe,0.0,424,1,1,0.2347,0.0073
efe,0.0,425,1,1,0.2036,0.0033
efe,0.0,426,1,5,0.021,0.0
efe,0.0,427,1,4,0.1742,0.0031
efe,0.0,428,1,1,0.1712,0.0031
efe,0.0,429,1,10,0.0183,0.0
efe,0.0,430,1,3,0.1457,0.0018
efe,0.0,431,1,7,0.3144,0.0181
efe,0.0,432,1,1,0.0742,0.0004
efe,0.0,433,1,2,0.3607,0.0123
efe,0.0,434,1,6,0.0132,0.0
efe,0.0,435,0,15,0.2369,1.7692
efe,0.0,436,1,1,0.0829,0.0003
efe,0.0,437,1,2,0.3076,0.0087
efe,0.0,438,0,15,0.0151,1.9958
efe,0.0,439,1,7,0.02,0.0
efe,0.0,440,1,10,0.0808,0.0005
efe,0.0,441,1,3,0.2786,0.0126
efe,0.0,442,1,5,0.0009,0.0
efe,0.0,443,0,15,0.0121,1.9935
efe,0.0,444,0,15,0.0,2.0
efe,0.0,445,1,8,0.37,0.0249
efe,0.0,446,0,15,0.0001,2.0
efe,0.0,447,1,1,0.4993,0.0486
efe,0.0,448,1,1,0.2036,0.0033
efe,0.0,449,1,1,0.1707,0.0018
efe,0.0,450,1,6,0.0367,0.0001
efe,0.0,451,1,7,0.1834,0.004
efe,0.0,452,0,15,0.0,2.0
efe,0.0,453,1,4,0.2513,0.0095
efe,0.0,454,1,1,0.2432,0.0042
efe,0.0,455,0,15,0.0,2.0
efe,0.0,456,1,1,0.2336,0.0069
efe,0.0,457,1,5,0.3498,0.0242
efe,0.0,458,1,1,0.0141,0.0
efe,0.0,459,1,2,0.1434,0.0011
efe,0.0,460,1,1,0.2336,0.0069
efe,0.0,461,1,1,0.1712,0.0031
efe,0.0,462,1,1,0.2036,0.0033
efe,0.0,463,1,1,0.5538,0.0493
efe,0.0,464,1,11,0.0027,0.0
efe,0.0,465,1,6,0.3906,0.0286
efe,0.0,466,0,15,0.0418,1.972
efe,0.0,467,0,15,0.001,1.9998
efe,0.0,468,1,12,0.2156,0.006
efe,0.0,469,1,3,0.3955,0.0363
efe,0.0,470,1,4,0.0066,0.0
efe,0.0,471,1,2,0.1079,0.0007
efe,0.0,472,1,1,0.048,0.0001
efe,0.0,473,1,2,0.0007,0.0
efe,0.0,474,0,15,0.4396,1.6638
efe,0.0,475,1,1,0.1853,0.0024
efe,0.0,476,0,15,0.3247,1.8215
efe,0.0,477,1,7,0.1609,0.0018
efe,0.0,478,1,2,0.5271,0.062
efe,0.0,479,1,3,0.0659,0.0003
efe,0.0,480,0,15,0.0,2.0
efe,0.0,481,1,2,0.089,0.0006
efe,0.0,482,1,1,0.1643,0.0027
efe,0.0,483,1,2,0.5021,0.0296
efe,0.0,484,1,2,0.2622,0.0102
efe,0.0,485,1,3,0.2895,0.0136
efe,0.0,486,1,6,0.0615,0.0002
efe,0.0,487,1,1,0.4234,0.0236
efe,0.0,488,1,5,0.3928,0.0356
efe,0.0,489,1,4,0.2108,0.0042
efe,0.0,490,1,1,0.0072,0.0
efe,0.0,491,1,4,0.3315,0.0212
efe,0.0,492,1,1,0.3934,0.0219
efe,0.0,493,1,8,0.1884,0.0024
efe,0.0,494,0,15,0.0007,1.9997
efe,0.0,495,1,1,0.4254,0.0313
efe,0.0,496,1,4,0.1062,0.001
efe,0.0,497,1,2,0.0143,0.0
efe,0.0,498,1,4,0.0122,0.0
efe,0.0,499,1,3,0.4735,0.0497
efe,0.0,500,1,1,0.2548,0.0054
efe,0.0,501,1,5,0.2388,0.0083
efe,0.0,502,1,8,0.5283,0.0757
efe,0.0,503,1,2,0.047,0.0001
efe,0.0,504,1,1,0.027,0.0
efe,0.0,505,1,4,0.2874,0.0065
efe,0.0,506,1,3,0.1053,0.0007
efe,0.0,507,1,1,0.1592,0.0025
efe,0.0,508,1,6,0.0124,0.0
efe,0.0,509,1,3,0.1987,0.005
efe,0.0,510,1,1,0.2309,0.0074
efe,0.0,511,1,1,0.3785,0.0197
efe,0.0,512,1,2,0.417,0.0284
efe,0.0,513,0,15,0.0043,1.998
efe,0.0,514,1,11,0.1848,0.0041
efe,0.0,515,1,2,0.0616,0.0002
efe,0.0,516,1,5,0.2309,0.0056
efe,0.0,517,1,1,0.2258,0.006
efe,0.0,518,0,15,0.0,2.0
efe,0.0,519,1,2,0.4741,0.0608
efe,0.0,520,1,7,0.2308,0.0075
efe,0.0,521,1,2,0.0343,0.0001
