seed,fold,balanced_accuracy,macro_f1,roc_auc,n_test,config,config_name,feature_dim
44,1,0.4444444444444444,0.4448000792300282,0.5914588057445201,126,A2,D,238
44,2,0.4682539682539682,0.4673362027737924,0.6171579743008314,126,A2,D,238
44,3,0.4761904761904762,0.4719482068319278,0.6319916855631141,126,A2,D,238
44,4,0.5238095238095237,0.5174266574266574,0.6258503401360543,126,A2,D,238
45,0,0.4108527131782946,0.410323312535451,0.5934739498828195,129,A2,D,238
45,1,0.4523809523809524,0.4494650205761317,0.6129062736205594,126,A2,D,238
45,2,0.373015873015873,0.3742753623188406,0.5869236583522297,126,A2,D,238
45,3,0.38095238095238093,0.3810784287244866,0.5649092970521542,126,A2,D,238
45,4,0.42063492063492064,0.41708341303892366,0.6181972789115647,126,A2,D,238
46,0,0.4108527131782946,0.4085775335775335,0.5780602127276006,129,A2,D,238
46,1,0.4682539682539683,0.46313623565085554,0.5913643235071807,126,A2,D,238
46,2,0.4206349206349207,0.4162368272240042,0.5963718820861678,126,A2,D,238
46,3,0.4603174603174604,0.45459198728861655,0.6342592592592592,126,A2,D,238
46,4,0.38888888888888884,0.3897350154532097,0.5706727135298563,126,A2,D,238
42,0,0.3875968992248062,0.3843198882486467,0.5676942491436812,129,A3,T,68
42,1,0.36507936507936506,0.3650072591987659,0.5144557823129251,126,A3,T,68
42,2,0.3333333333333333,0.3328663491173998,0.4884731670445956,126,A3,T,68
42,3,0.3412698412698412,0.3400277656542691,0.5477135298563871,126,A3,T,68
42,4,0.3650793650793651,0.3645183809307923,0.5346749811035525,126,A3,T,68
43,0,0.3798449612403101,0.3781691986305222,0.5329908058409951,129,A3,T,68
43,1,0.35714285714285715,0.3553743062136185,0.5084089191232047,126,A3,T,68
43,2,0.3412698412698412,0.3406578051825709,0.49593726379440667,126,A3,T,68
43,3,0.3174603174603175,0.31846892125961895,0.5016061980347694,126,A3,T,68
43,4,0.3333333333333333,0.33130883692681445,0.5404383975812547,126,A3,T,68
44,0,0.36434108527131787,0.36381461675579324,0.534613304488913,129,A3,T,68
44,1,0.3015873015873016,0.2964666847898065,0.5058578987150416,126,A3,T,68
44,2,0.31746031746031744,0.3106187505780555,0.5280612244897959,126,A3,T,68
44,3,0.35714285714285715,0.3501703545882014,0.5053854875283447,126,A3,T,68
44,4,0.42063492063492064,0.42040983532758913,0.58078231292517,126,A3,T,68
45,0,0.3565891472868217,0.35507576188579776,0.5507481521543176,129,A3,T,68
45,1,0.3412698412698412,0.34130932878462894,0.5150226757369615,126,A3,T,68
45,2,0.34920634920634924,0.3462456020882987,0.5263605442176871,126,A3,T,68
45,3,0.38888888888888884,0.38410282806528007,0.5423280423280423,126,A3,T,68
