router,seed,fold,ptype,level,balanced_accuracy,macro_f1
fixed_A1,42,2,amplitude_noise,20,0.4920634920634921,0.4865885515040374
fixed_A2,42,2,amplitude_noise,20,0.373015873015873,0.37373193284855016
fixed_A3,42,2,amplitude_noise,20,0.32539682539682535,0.3257084359848357
fixed_A5,42,2,amplitude_noise,20,0.31746031746031744,0.3161531279178338
fixed_A6,42,2,amplitude_noise,20,0.4047619047619048,0.4006864884524459
fixed_A7,42,2,amplitude_noise,20,0.4523809523809524,0.44600053864799355
fixed_A8,42,2,amplitude_noise,20,0.3333333333333333,0.3333333333333333
fixed_A9,42,2,amplitude_noise,20,0.3968253968253968,0.39849039849039847
oracle,42,2,amplitude_noise,20,0.9603174603174603,0.9605607249285409
perturbation_label,42,2,amplitude_noise,20,0.4603174603174603,0.45399180511540066
fixed_A0,42,2,amplitude_noise,10,0.4603174603174603,0.4555296555296556
fixed_A1,42,2,amplitude_noise,10,0.4603174603174603,0.4572463768115942
fixed_A2,42,2,amplitude_noise,10,0.38888888888888884,0.3870343393488606
fixed_A3,42,2,amplitude_noise,10,0.3333333333333333,0.33168618425505997
fixed_A5,42,2,amplitude_noise,10,0.3968253968253968,0.3953344900713322
fixed_A6,42,2,amplitude_noise,10,0.3888888888888889,0.38360268842029654
fixed_A7,42,2,amplitude_noise,10,0.484126984126984,0.4767032804341265
fixed_A8,42,2,amplitude_noise,10,0.4047619047619048,0.4048001529929241
fixed_A9,42,2,amplitude_noise,10,0.35714285714285715,0.3519736842105263
oracle,42,2,amplitude_noise,10,0.9841269841269842,0.9842159335014475
perturbation_label,42,2,amplitude_noise,10,0.484126984126984,0.4767032804341265
fixed_A0,42,2,amplitude_noise,5,0.41269841269841273,0.4076117896551333
fixed_A1,42,2,amplitude_noise,5,0.4444444444444445,0.44057548876825986
fixed_A2,42,2,amplitude_noise,5,0.28571428571428575,0.28399122807017546
fixed_A3,42,2,amplitude_noise,5,0.3650793650793651,0.36065793268240437
fixed_A5,42,2,amplitude_noise,5,0.373015873015873,0.37175456389452327
fixed_A6,42,2,amplitude_noise,5,0.36507936507936506,0.36364312468730137
fixed_A7,42,2,amplitude_noise,5,0.4523809523809524,0.4493827160493827
fixed_A8,42,2,amplitude_noise,5,0.3333333333333333,0.32826534490221676
fixed_A9,42,2,amplitude_noise,5,0.29365079365079366,0.2912681743102428
oracle,42,2,amplitude_noise,5,0.9761904761904763,0.9759808143757072
perturbation_label,42,2,amplitude_noise,5,0.4444444444444445,0.44057548876825986
fixed_A0,42,2,channel_dropout,0.1,0.42857142857142855,0.3481804344818043
fixed_A1,42,2,channel_dropout,0.1,0.4523809523809524,0.44936539224899835
fixed_A2,42,2,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
fixed_A3,42,2,channel_dropout,0.1,0.3333333333333333,0.2030185004868549
fixed_A5,42,2,channel_dropout,0.1,0.3412698412698412,0.18316854662767487
fixed_A6,42,2,channel_dropout,0.1,0.3888888888888889,0.30247364575722785
fixed_A7,42,2,channel_dropout,0.1,0.4603174603174603,0.4487021681291338
fixed_A8,42,2,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
fixed_A9,42,2,channel_dropout,0.1,0.3333333333333333,0.16666666666666666
oracle,42,2,channel_dropout,0.1,0.9920634920634921,0.9920623671155209
perturbation_label,42,2,channel_dropout,0.1,0.4523809523809524,0.44936539224899835
fixed_A0,42,2,channel_dropout,0.2,0.3650793650793651,0.28685762294723555
fixed_A1,42,2,channel_dropout,0.2,0.4444444444444444,0.43785672156435734
fixed_A2,42,2,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A3,42,2,channel_dropout,0.2,0.31746031746031744,0.217687074829932
fixed_A5,42,2,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A6,42,2,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A7,42,2,channel_dropout,0.2,0.42063492063492064,0.41739849297988835
fixed_A8,42,2,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A9,42,2,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
oracle,42,2,channel_dropout,0.2,0.9841269841269842,0.9841179807146908
perturbation_label,42,2,channel_dropout,0.2,0.4444444444444444,0.43785672156435734
fixed_A0,42,2,channel_dropout,0.3,0.3333333333333333,0.22756410256410256
fixed_A1,42,2,channel_dropout,0.3,0.5,0.49602122015915123
fixed_A2,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A3,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A5,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A6,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A7,42,2,channel_dropout,0.3,0.4523809523809524,0.4354479941118378
fixed_A8,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A9,42,2,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
oracle,42,2,channel_dropout,0.3,1.0,1.0
perturbation_label,42,2,channel_dropout,0.3,0.5,0.49602122015915123
