diagnosis,config_id,feature_set,dimension,n_subjects,n_positive,n_negative,prevalence,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,macro_f1_mean,macro_f1_sd,positive_precision_mean,positive_recall_mean,specificity_mean,negative_predictive_value_mean,fold_balanced_accuracy_values,fold_roc_auc_values
GAD,C3,T,68,206,60,146,0.2912621359223301,0.5163793103448275,0.07772311250160731,0.4554597701149426,0.5735632183908046,0.5295402298850574,0.0648363999062834,0.4718390804597701,0.5749425287356322,0.5050089808119739,0.07318281793488828,0.30204991087344024,0.4166666666666667,0.6160919540229886,0.7209742351046697,"[0.5416666666666666, 0.4281609195402299, 0.44971264367816094, 0.6192528735632183, 0.5431034482758621]","[0.55, 0.4224137931034483, 0.5316091954022988, 0.5977011494252874, 0.5459770114942528]"
GAD,C4,D + T,306,206,60,146,0.2912621359223301,0.4901724137931035,0.09832487686754882,0.41885057471264364,0.5726436781609195,0.4519348659003832,0.08516969702821357,0.3906513409961686,0.5235632183908047,0.4875789213114145,0.09135194845963071,0.2827941176470588,0.35,0.6303448275862069,0.7016224580017683,"[0.425, 0.38362068965517243, 0.5287356321839081, 0.6364942528735633, 0.4770114942528736]","[0.3861111111111111, 0.3735632183908046, 0.48275862068965514, 0.5833333333333334, 0.4339080459770115]"
GAD,C5,E + D + T,2482,206,60,146,0.2912621359223301,0.4680459770114943,0.0777933059730795,0.4137931034482758,0.5357471264367816,0.44766283524904216,0.07999631621265638,0.3850191570881226,0.5064789272030629,0.43349718013183774,0.09759456167605818,0.16999999999999998,0.06666666666666667,0.8694252873563219,0.6934959019169545,"[0.5916666666666667, 0.41379310344827586, 0.4899425287356322, 0.39655172413793105, 0.4482758620689655]","[0.4222222222222222, 0.3362068965517241, 0.4367816091954023, 0.4942528735632184, 0.5488505747126436]"
GAD,C6,C,3,206,60,146,0.2912621359223301,0.5101149425287356,0.0401941549048983,0.4775862068965517,0.5394252873563219,0.5296934865900382,0.015970624521583387,0.5170498084291187,0.5423371647509578,0.4766740873196883,0.03565663408740038,0.2977123745819398,0.5333333333333333,0.48689655172413787,0.7196209587513935,"[0.5333333333333333, 0.5431034482758621, 0.4568965517241379, 0.4770114942528736, 0.5402298850574713]","[0.5277777777777778, 0.5488505747126436, 0.514367816091954, 0.5431034482758621, 0.514367816091954]"
ADHD,C1,E,2176,206,50,156,0.24271844660194175,0.5503225806451613,0.07739751035906436,0.4935483870967742,0.6135483870967742,0.5592338709677419,0.07957766259104833,0.4947177419354839,0.6166532258064515,0.5195911198791165,0.126791921983197,0.32,0.12,0.9806451612903226,0.7776526996039191,"[0.65, 0.5, 0.5, 0.6177419354838709, 0.4838709677419355]","[0.61875, 0.6419354838709677, 0.5580645161290323, 0.5387096774193548, 0.43870967741935485]"
ADHD,C2,D,238,206,50,156,0.24271844660194175,0.5262499999999999,0.05052895608683998,0.48766129032258065,0.5652127016129024,0.5496774193548386,0.07532793377399737,0.48838709677419345,0.6058064516129033,0.510313226505177,0.04566993425751661,0.26805555555555555,0.33999999999999997,0.7125,0.7728898128898128,"[0.48125, 0.5725806451612903, 0.5016129032258064, 0.5887096774193548, 0.48709677419354835]","[0.6, 0.5419354838709677, 0.432258064516129, 0.5451612903225806, 0.6290322580645162]"
ADHD,C3,T,68,206,50,156,0.24271844660194175,0.491633064516129,0.07281806207626058,0.43163306451612904,0.5461693548387097,0.42463709677419353,0.09823829473290513,0.3445161290322581,0.4975403225806452,0.4748536088157702,0.05699789931858821,0.2311773305813553,0.4,0.583266129032258,0.7536736596736597,"[0.546875, 0.4403225806451613, 0.39032258064516134, 0.5564516129032258, 0.5241935483870968]","[0.48125, 0.2935483870967742, 0.3451612903225807, 0.5064516129032258, 0.49677419354838714]"
ADHD,C4,D + T,306,206,50,156,0.24271844660194175,0.5520766129032258,0.034637806754149035,0.5240120967741935,0.5777016129032259,0.5559274193548388,0.10386055003107557,0.4703225806451613,0.6260483870967744,0.5379764322742899,0.03269390890252051,0.3007051282051282,0.36,0.7441532258064516,0.786409841248551,"[0.578125, 0.5548387096774194, 0.5016129032258064, 0.5887096774193548, 0.5370967741935484]","[0.6312500000000001, 0.5419354838709678, 0.3870967741935484, 0.5709677419354839, 0.6483870967741936]"
ADHD,C5,E + D + T,2482,206,50,156,0.24271844660194175,0.5503225806451614,0.05873714352210463,0.5135483870967742,0.6035483870967742,0.5627822580645161,0.07667065946901142,0.5006451612903225,0.6231854838709677,0.5297351029592303,0.09252241734024037,0.5666666666666667,0.12,0.9806451612903226,0.7767998090912083,"[0.65, 0.5, 0.55, 0.5177419354838709, 0.5338709677419355]","[0.66875, 0.5838709677419355, 0.5548387096774193, 0.5516129032258065, 0.45483870967741935]"
ADHD,C6,C,3,206,50,156,0.24271844660194175,0.46707661290322583,0.042874134608693035,0.42870967741935484,0.492883064516129,0.44997983870967745,0.08433399300270582,0.3764314516129032,0.5025806451612903,0.43686864718022356,0.04353085516415523,0.21815312053675226,0.44000000000000006,0.4941532258064516,0.7317910790047013,"[0.503125, 0.3935483870967742, 0.4725806451612903, 0.47580645161290325, 0.4903225806451613]","[0.453125, 0.3064516129032258, 0.46774193548387094, 0.5129032258064515, 0.5096774193548387]"
